date,seoul_covid_confirmed,seoul_covid_death,seoul_covid_released,china_pm2.5,china_pm10,china_stock_index,기온,강수량,풍속,최다풍향,습도,기압,안개시간,y_pm2.5,y_pm10,transport_in,transport_out,transport_inandout,china_covid_confirmed,china_covid_death,kospi_index
2019-01-01,0.0,0.0,0.0,,,,-5.0,0.0,2.1,290.0,49.5,1022.6,0.0,25.0,38.0,3534195.0,3531605.0,7065800.0,0.0,0.0,
2019-01-02,0.0,0.0,0.0,,125.0,2465.29,-4.9,0.0,1.7,270.0,42.8,1023.4,0.0,22.0,34.0,4658330.0,4578983.0,9237313.0,0.0,0.0,2010.0
2019-01-03,0.0,0.0,0.0,182,133.0,2464.36,-3.5,0.0,1.4,290.0,38.8,1024.2,0.0,24.0,39.0,4892831.0,4780205.0,9673036.0,0.0,0.0,1993.7
2019-01-04,0.0,0.0,0.0,198,151.0,2514.87,-1.1,0.0,1.2,20.0,55.5,1019.5,0.0,42.0,60.0,5011360.0,4946281.0,9957641.0,0.0,0.0,2010.25
2019-01-05,0.0,0.0,0.0,224,64.0,,-2.8,0.0,2.2,290.0,40.3,1016.6,0.0,40.0,63.0,4434645.0,4382017.0,8816662.0,0.0,0.0,
2019-01-06,0.0,0.0,0.0,106,91.0,,-2.8,0.0,1.2,290.0,35.0,1017.6,0.0,23.0,49.0,3635917.0,3525408.0,7161325.0,0.0,0.0,
2019-01-07,0.0,0.0,0.0,161,159.0,2533.09,-1.9,0.0,1.4,290.0,46.4,1017.4,0.0,37.0,57.0,4625330.0,4623444.0,9248774.0,0.0,0.0,2037.1
2019-01-08,0.0,0.0,0.0,219,64.0,2526.46,-3.5,0.0,2.6,290.0,31.0,1018.2,0.0,18.0,41.0,4928774.0,4935362.0,9864136.0,0.0,0.0,2025.27
2019-01-09,0.0,0.0,0.0,79,63.0,2544.34,-4.7,0.0,1.3,50.0,28.8,1022.0,0.0,22.0,51.0,4891248.0,4900404.0,9791652.0,0.0,0.0,2064.71
2019-01-10,0.0,0.0,0.0,93,74.0,2535.1,-0.6,0.0,1.3,290.0,48.8,1015.5,0.0,34.0,58.0,4956516.0,4939590.0,9896106.0,0.0,0.0,2063.28
2019-01-11,0.0,0.0,0.0,161,72.0,2553.83,2.4,0.0,1.0,20.0,58.8,1014.2,0.0,57.0,80.0,4998621.0,4948421.0,9947042.0,0.0,0.0,2075.57
2019-01-12,0.0,0.0,0.0,163,109.0,,2.8,0.0,1.3,290.0,47.6,1012.1,0.0,69.0,96.0,4626392.0,4719650.0,9346042.0,0.0,0.0,
2019-01-13,0.0,0.0,0.0,192,159.0,,1.2,0.0,1.4,270.0,54.3,1014.8,0.0,83.0,115.0,3963007.0,3990006.0,7953013.0,0.0,0.0,
2019-01-14,0.0,0.0,0.0,249,197.0,2535.77,1.4,0.0,0.9,290.0,68.6,1014.8,0.0,129.0,166.0,4679268.0,4723701.0,9402969.0,0.0,0.0,2064.52
2019-01-15,0.0,0.0,0.0,282,120.0,2570.34,-1.7,0.0,2.7,290.0,58.8,1013.2,0.0,81.0,134.0,4903337.0,4881753.0,9785090.0,0.0,0.0,2097.18
2019-01-16,0.0,0.0,0.0,96,60.0,2570.42,-5.2,0.0,2.3,270.0,45.9,1015.9,0.0,17.0,46.0,4918155.0,4917832.0,9835987.0,0.0,0.0,2106.1
2019-01-17,0.0,0.0,0.0,63,73.0,2559.64,-0.3,0.0,1.7,290.0,45.8,1013.4,0.0,22.0,43.0,4899779.0,5004766.0,9904545.0,0.0,0.0,2107.06
2019-01-18,0.0,0.0,0.0,118,84.0,2596.01,0.6,0.0,1.3,290.0,44.0,1016.7,0.0,39.0,61.0,5055619.0,5089983.0,10145602.0,0.0,0.0,2124.28
2019-01-19,0.0,0.0,0.0,153,109.0,,3.6,0.0,1.2,50.0,59.8,1011.7,0.0,67.0,96.0,4716724.0,4788854.0,9505578.0,0.0,0.0,
2019-01-20,0.0,0.0,0.0,173,63.0,,-1.4,0.0,3.2,290.0,38.5,1011.7,0.0,33.0,66.0,4202003.0,4143686.0,8345689.0,0.0,0.0,
2019-01-21,0.0,0.0,0.0,97,81.0,2610.51,-1.2,0.0,1.6,270.0,57.8,1010.7,0.0,21.0,45.0,4887288.0,4797405.0,9684693.0,0.0,0.0,2124.61
2019-01-22,0.0,0.0,0.0,146,75.0,2579.7,1.7,0.0,1.7,20.0,62.0,1008.6,0.0,33.0,67.0,5026623.0,4981013.0,10007636.0,0.0,0.0,2117.77
2019-01-23,0.0,0.0,0.0,139,95.0,2581.0,2.0,0.0,2.3,270.0,48.9,1009.6,0.0,44.0,74.0,5018353.0,5014942.0,10033295.0,0.0,0.0,2127.78
2019-01-24,0.0,0.0,0.0,127,100.0,2591.69,0.1,0.0,1.7,270.0,34.9,1013.7,0.0,21.0,41.0,5059459.0,5055743.0,10115202.0,0.0,0.0,2145.03
2019-01-25,0.0,0.0,0.0,147,88.0,2601.72,-1.2,0.0,2.6,290.0,27.6,1013.4,0.0,21.0,51.0,5210494.0,5139608.0,10350102.0,0.0,0.0,2177.73
2019-01-26,0.0,0.0,0.0,138,78.0,,-2.5,0.0,2.4,320.0,30.9,1017.5,0.0,20.0,43.0,4850557.0,4725212.0,9575769.0,0.0,0.0,
2019-01-27,0.0,0.0,0.0,100,72.0,,-0.1,0.0,1.7,230.0,52.5,1015.9,0.0,20.0,36.0,4097191.0,3975254.0,8072445.0,0.0,0.0,
2019-01-28,0.0,0.0,0.0,114,86.0,2596.98,1.2,0.0,3.1,290.0,40.4,1011.6,0.0,24.0,85.0,4848417.0,4854918.0,9703335.0,0.0,0.0,2177.3
2019-01-29,0.0,0.0,0.0,117,93.0,2594.25,-0.2,0.0,1.5,290.0,35.5,1016.9,0.0,23.0,67.0,5063064.0,5000629.0,10063693.0,0.0,0.0,2183.36
2019-01-30,0.0,0.0,0.0,149,100.0,2575.58,1.8,0.0,1.5,290.0,54.6,1014.9,0.0,33.0,63.0,5146134.0,5082544.0,10228678.0,0.0,0.0,2206.2
2019-01-31,0.0,0.0,0.0,157,54.0,2584.57,-2.0,0.0,2.9,290.0,29.0,1010.5,0.0,21.0,72.0,5197400.0,5131630.0,10329030.0,0.0,0.0,2204.85
2019-02-01,0.0,0.0,0.0,64,79.0,2618.23,-2.1,0.3,1.7,270.0,47.6,1013.0,0.0,18.0,39.0,5164348.0,5079417.0,10243765.0,0.0,0.0,2203.46
2019-02-02,0.0,0.0,0.0,146,64.0,,1.4,0.0,1.0,70.0,60.0,1011.2,0.0,36.0,59.0,4443277.0,4440284.0,8883561.0,0.0,0.0,
2019-02-03,0.0,0.0,0.0,133,104.0,,3.3,16.0,1.7,90.0,92.9,1002.2,1.08,30.0,39.0,3571498.0,3646297.0,7217795.0,0.0,0.0,
2019-02-04,0.0,0.0,0.0,167,100.0,,-0.6,0.0,2.1,290.0,40.4,1014.7,0.0,36.0,72.0,3520991.0,3472538.0,6993529.0,0.0,0.0,
2019-02-05,0.0,0.0,0.0,135,98.0,,2.8,0.0,1.0,50.0,37.1,1010.6,0.0,28.0,85.0,4293308.0,4177022.0,8470330.0,0.0,0.0,
2019-02-06,0.0,0.0,0.0,167,135.0,,5.1,0.0,1.3,20.0,54.9,1005.6,0.0,35.0,96.0,3743332.0,3483754.0,7227086.0,0.0,0.0,
2019-02-07,0.0,0.0,0.0,213,49.0,,-2.1,0.5,3.5,290.0,45.5,1011.9,0.0,32.0,61.0,4761774.0,4646607.0,9408381.0,0.0,0.0,2203.42
2019-02-08,0.0,0.0,0.0,81,54.0,,-6.1,0.0,2.3,290.0,31.5,1015.3,0.0,17.0,32.0,5066353.0,4969874.0,10036227.0,0.0,0.0,2177.05
2019-02-09,0.0,0.0,0.0,105,59.0,,-5.4,0.0,2.7,320.0,30.0,1017.4,0.0,17.0,36.0,4694515.0,4630023.0,9324538.0,0.0,0.0,
2019-02-10,0.0,0.0,0.0,118,52.0,,-5.0,0.0,1.7,290.0,31.3,1019.8,0.0,23.0,42.0,3997378.0,3911434.0,7908812.0,0.0,0.0,
2019-02-11,0.0,0.0,0.0,104,69.0,2653.9,-3.0,0.0,2.3,270.0,34.9,1020.7,0.0,23.0,39.0,4892626.0,4845205.0,9737831.0,0.0,0.0,2180.73
2019-02-12,0.0,0.0,0.0,159,80.0,2671.89,-0.6,0.0,1.9,290.0,35.5,1023.0,0.0,38.0,59.0,4252580.0,4235730.0,8488310.0,0.0,0.0,2190.47
2019-02-13,0.0,0.0,0.0,166,82.0,2721.07,-2.1,0.0,2.4,290.0,26.6,1022.0,0.0,20.0,39.0,5085348.0,5010847.0,10096195.0,0.0,0.0,2201.48
2019-02-14,0.0,0.0,0.0,163,67.0,2719.7,-0.5,0.0,1.4,250.0,24.3,1019.9,0.0,27.0,53.0,5089300.0,5074070.0,10163370.0,0.0,0.0,2225.85
2019-02-15,0.0,0.0,0.0,157,75.0,2682.39,-0.8,2.2,1.9,290.0,72.8,1012.9,0.0,28.0,39.0,4694579.0,4678058.0,9372637.0,0.0,0.0,2196.09
2019-02-16,0.0,0.0,0.0,157,36.0,,-2.7,0.2,2.6,320.0,59.0,1013.5,0.0,48.0,59.0,4666714.0,4622901.0,9289615.0,0.0,0.0,
2019-02-17,0.0,0.0,0.0,76,46.0,,-1.8,0.0,1.9,270.0,47.4,1015.5,0.0,25.0,36.0,4091922.0,4041286.0,8133208.0,0.0,0.0,
